행정구역,2020년09월_남_총인구수,2020년09월_남_연령구간인구수,2020년09월_남_0세,2020년09월_남_1세,2020년09월_남_2세,2020년09월_남_3세,2020년09월_남_4세,2020년09월_남_5세,2020년09월_남_6세,2020년09월_남_7세,2020년09월_남_8세,2020년09월_남_9세,2020년09월_남_10세,2020년09월_남_11세,2020년09월_남_12세,2020년09월_남_13세,2020년09월_남_14세,2020년09월_남_15세,2020년09월_남_16세,2020년09월_남_17세,2020년09월_남_18세,2020년09월_남_19세,2020년09월_남_20세,2020년09월_남_21세,2020년09월_남_22세,2020년09월_남_23세,2020년09월_남_24세,2020년09월_남_25세,2020년09월_남_26세,2020년09월_남_27세,2020년09월_남_28세,2020년09월_남_29세,2020년09월_남_30세,2020년09월_남_31세,2020년09월_남_32세,2020년09월_남_33세,2020년09월_남_34세,2020년09월_남_35세,2020년09월_남_36세,2020년09월_남_37세,2020년09월_남_38세,2020년09월_남_39세,2020년09월_남_40세,2020년09월_남_41세,2020년09월_남_42세,2020년09월_남_43세,2020년09월_남_44세,2020년09월_남_45세,2020년09월_남_46세,2020년09월_남_47세,2020년09월_남_48세,2020년09월_남_49세,2020년09월_남_50세,2020년09월_남_51세,2020년09월_남_52세,2020년09월_남_53세,2020년09월_남_54세,2020년09월_남_55세,2020년09월_남_56세,2020년09월_남_57세,2020년09월_남_58세,2020년09월_남_59세,2020년09월_남_60세,2020년09월_남_61세,2020년09월_남_62세,2020년09월_남_63세,2020년09월_남_64세,2020년09월_남_65세,2020년09월_남_66세,2020년09월_남_67세,2020년09월_남_68세,2020년09월_남_69세,2020년09월_남_70세,2020년09월_남_71세,2020년09월_남_72세,2020년09월_남_73세,2020년09월_남_74세,2020년09월_남_75세,2020년09월_남_76세,2020년09월_남_77세,2020년09월_남_78세,2020년09월_남_79세,2020년09월_남_80세,2020년09월_남_81세,2020년09월_남_82세,2020년09월_남_83세,2020년09월_남_84세,2020년09월_남_85세,2020년09월_남_86세,2020년09월_남_87세,2020년09월_남_88세,2020년09월_남_89세,2020년09월_남_90세,2020년09월_남_91세,2020년09월_남_92세,2020년09월_남_93세,2020년09월_남_94세,2020년09월_남_95세,2020년09월_남_96세,2020년09월_남_97세,2020년09월_남_98세,2020년09월_남_99세,2020년09월_남_100세 이상,2020년09월_여_총인구수,2020년09월_여_연령구간인구수,2020년09월_여_0세,2020년09월_여_1세,2020년09월_여_2세,2020년09월_여_3세,2020년09월_여_4세,2020년09월_여_5세,2020년09월_여_6세,2020년09월_여_7세,2020년09월_여_8세,2020년09월_여_9세,2020년09월_여_10세,2020년09월_여_11세,2020년09월_여_12세,2020년09월_여_13세,2020년09월_여_14세,2020년09월_여_15세,2020년09월_여_16세,2020년09월_여_17세,2020년09월_여_18세,2020년09월_여_19세,2020년09월_여_20세,2020년09월_여_21세,2020년09월_여_22세,2020년09월_여_23세,2020년09월_여_24세,2020년09월_여_25세,2020년09월_여_26세,2020년09월_여_27세,2020년09월_여_28세,2020년09월_여_29세,2020년09월_여_30세,2020년09월_여_31세,2020년09월_여_32세,2020년09월_여_33세,2020년09월_여_34세,2020년09월_여_35세,2020년09월_여_36세,2020년09월_여_37세,2020년09월_여_38세,2020년09월_여_39세,2020년09월_여_40세,2020년09월_여_41세,2020년09월_여_42세,2020년09월_여_43세,2020년09월_여_44세,2020년09월_여_45세,2020년09월_여_46세,2020년09월_여_47세,2020년09월_여_48세,2020년09월_여_49세,2020년09월_여_50세,2020년09월_여_51세,2020년09월_여_52세,2020년09월_여_53세,2020년09월_여_54세,2020년09월_여_55세,2020년09월_여_56세,2020년09월_여_57세,2020년09월_여_58세,2020년09월_여_59세,2020년09월_여_60세,2020년09월_여_61세,2020년09월_여_62세,2020년09월_여_63세,2020년09월_여_64세,2020년09월_여_65세,2020년09월_여_66세,2020년09월_여_67세,2020년09월_여_68세,2020년09월_여_69세,2020년09월_여_70세,2020년09월_여_71세,2020년09월_여_72세,2020년09월_여_73세,2020년09월_여_74세,2020년09월_여_75세,2020년09월_여_76세,2020년09월_여_77세,2020년09월_여_78세,2020년09월_여_79세,2020년09월_여_80세,2020년09월_여_81세,2020년09월_여_82세,2020년09월_여_83세,2020년09월_여_84세,2020년09월_여_85세,2020년09월_여_86세,2020년09월_여_87세,2020년09월_여_88세,2020년09월_여_89세,2020년09월_여_90세,2020년09월_여_91세,2020년09월_여_92세,2020년09월_여_93세,2020년09월_여_94세,2020년09월_여_95세,2020년09월_여_96세,2020년09월_여_97세,2020년09월_여_98세,2020년09월_여_99세,2020년09월_여_100세 이상
전국  (0000000000),25851003 ,25851003 ,139320 ,159027 ,173226 ,191465 ,217335 ,227384 ,225750 ,232761 ,248811 ,250332 ,237155 ,233218 ,247267 ,247969 ,230480 ,229360 ,250064 ,252183 ,265641 ,304880 ,330331 ,323742 ,338334 ,350377 ,365277 ,370982 ,378535 ,382676 ,379779 ,352031 ,341424 ,331511 ,318723 ,318804 ,329860 ,333257 ,351748 ,389208 ,421916 ,429115 ,431059 ,404930 ,382031 ,386945 ,383958 ,405992 ,448391 ,447409 ,453796 ,482698 ,459226 ,470472 ,455039 ,421046 ,424239 ,422638 ,391462 ,435210 ,418308 ,468344 ,448861 ,403160 ,374389 ,367196 ,330723 ,336442 ,276638 ,247673 ,264431 ,193004 ,207557 ,208010 ,201577 ,194298 ,141672 ,142825 ,138098 ,145978 ,153911 ,120793 ,105564 ,99881 ,84823 ,73579 ,62011 ,53373 ,42013 ,32566 ,26073 ,17998 ,14584 ,12335 ,8673 ,6208 ,3978 ,3113 ,2387 ,2348 ,1559 ,1004 ,5246 ,25990783 ,25990783 ,133032 ,150291 ,164155 ,181189 ,207832 ,216147 ,215132 ,221936 ,235877 ,236763 ,222678 ,219552 ,233961 ,233862 ,215007 ,214268 ,232289 ,233437 ,244254 ,281177 ,303769 ,295691 ,312170 ,324634 ,328313 ,329208 ,333683 ,338158 ,343367 ,319999 ,308211 ,300487 ,297331 ,302454 ,309129 ,314419 ,335599 ,373920 ,406979 ,408471 ,419401 ,393932 ,369488 ,374330 ,369570 ,396227 ,433093 ,439768 ,432654 ,465737 ,445821 ,463532 ,452509 ,419195 ,401704 ,418264 ,382592 ,418151 ,409787 ,474766 ,462721 ,410668 ,377139 ,374272 ,342985 ,359575 ,293323 ,267555 ,286567 ,213139 ,230927 ,233742 ,228975 ,228034 ,166216 ,176899 ,180878 ,196025 ,211022 ,173322 ,160572 ,157989 ,141790 ,130294 ,118183 ,110512 ,92009 ,77734 ,67509 ,51551 ,47742 ,38032 ,30356 ,23089 ,15424 ,12594 ,8255 ,8364 ,5536 ,3587 ,16325 
서울특별시  (1100000000),4719170 ,4719170 ,23847 ,26839 ,28075 ,30195 ,34132 ,35280 ,35230 ,36122 ,38374 ,38397 ,36907 ,36304 ,39787 ,39994 ,37567 ,37922 ,41433 ,41528 ,43680 ,50822 ,55506 ,55504 ,59929 ,64667 ,69708 ,74703 ,80592 ,84545 ,85440 ,80518 ,77202 ,74833 ,71222 ,69957 ,70577 ,69768 ,71951 ,76496 ,80323 ,81149 ,79586 ,74037 ,68155 ,69516 ,68999 ,72526 ,79649 ,79834 ,82645 ,87041 ,82425 ,82913 ,78378 ,71982 ,71600 ,72184 ,68123 ,74523 ,70812 ,77599 ,76665 ,70281 ,66118 ,64866 ,59454 ,62016 ,51025 ,46610 ,48838 ,35387 ,39566 ,39149 ,38401 ,37832 ,28086 ,28411 ,27100 ,28213 ,29594 ,23220 ,19614 ,18202 ,15222 ,12898 ,10765 ,9168 ,6954 ,5487 ,4565 ,3110 ,2600 ,2322 ,1697 ,1221 ,797 ,622 ,510 ,592 ,383 ,299 ,1758 ,4980062 ,4980062 ,22534 ,24705 ,26209 ,28893 ,32817 ,33546 ,33438 ,34306 ,36476 ,36418 ,34983 ,34685 ,37378 ,37811 ,35130 ,35410 ,39110 ,39232 ,41683 ,50097 ,57465 ,59278 ,65525 ,72711 ,77767 ,80584 ,84394 ,86345 ,87593 ,81671 ,77327 ,74192 ,72115 ,71011 ,70573 ,69356 ,71538 ,75987 ,80698 ,79797 ,81097 ,75490 ,69684 ,71512 ,69848 ,74264 ,80723 ,82560 ,82988 ,88232 ,84151 ,85139 ,81780 ,75585 ,71099 ,75550 ,70791 ,76288 ,73250 ,84529 ,85021 ,76522 ,71769 ,72251 ,66441 ,70794 ,57789 ,52991 ,55233 ,40650 ,45311 ,46156 ,44900 ,45617 ,33958 ,33929 ,33153 ,34112 ,35768 ,28830 ,25780 ,24555 ,21837 ,19843 ,17425 ,16213 ,13210 ,11318 ,9667 ,7634 ,7085 ,6012 ,4815 ,3815 ,2603 ,2044 ,1525 ,1464 ,1020 ,734 ,4920 
부산광역시  (2600000000),1665554 ,1665554 ,7925 ,8870 ,10246 ,11264 ,12984 ,13594 ,13546 ,13653 ,14535 ,14319 ,13489 ,13087 ,13733 ,13696 ,12824 ,12930 ,14172 ,14638 ,15270 ,17955 ,19816 ,19610 ,21674 ,22515 ,24213 ,24215 ,24180 ,24225 ,23674 ,21637 ,21064 ,20166 ,19123 ,18918 ,19709 ,19922 ,21277 ,23566 ,25976 ,27180 ,27579 ,25273 ,23750 ,23420 ,22825 ,24639 ,27070 ,26964 ,27596 ,28851 ,28226 ,28696 ,28196 ,26264 ,26598 ,25779 ,24935 ,28650 ,28322 ,31964 ,31441 ,29071 ,27630 ,27929 ,25578 ,26623 ,22593 ,20023 ,21236 ,16627 ,17004 ,16898 ,16411 ,15150 ,11074 ,11384 ,11165 ,11710 ,11517 ,9160 ,7900 ,7179 ,5800 ,5055 ,4028 ,3382 ,2646 ,2002 ,1562 ,1124 ,820 ,746 ,517 ,339 ,229 ,169 ,146 ,128 ,109 ,49 ,413 ,1734195 ,1734195 ,7405 ,8540 ,9633 ,10820 ,12388 ,12848 ,12705 ,12980 ,13728 ,13888 ,12519 ,12408 ,13000 ,13062 ,11854 ,12091 ,13302 ,13362 ,14226 ,16669 ,18708 ,18406 ,20280 ,21404 ,21717 ,21434 ,21734 ,21399 ,21962 ,20000 ,19501 ,18705 ,18213 ,18256 ,18294 ,19010 ,20587 ,23064 ,25438 ,26149 ,26695 ,24971 ,22791 ,22653 ,22254 ,24552 ,26705 ,27377 ,27375 ,29624 ,28914 ,29829 ,29681 ,28448 ,27150 ,27945 ,26302 ,30141 ,30411 ,36017 ,35244 ,31640 ,30095 ,30561 ,28503 ,30294 ,24112 ,22973 ,23932 ,18986 ,19506 ,19942 ,19335 ,18153 ,12726 ,13809 ,13979 ,15011 ,15024 ,12901 ,11600 ,11022 ,9322 ,8528 ,7566 ,7062 ,5708 ,4697 ,4193 ,3133 ,2748 ,2347 ,1973 ,1445 ,873 ,771 ,497 ,466 ,320 ,216 ,1458 
대구광역시  (2700000000),1197914 ,1197914 ,5999 ,6974 ,7656 ,8642 ,9905 ,10363 ,10163 ,10478 ,11311 ,11366 ,10722 ,10634 ,11424 ,11337 ,10889 ,11139 ,12239 ,12684 ,13217 ,15012 ,16683 ,16127 ,17108 ,17601 ,18386 ,18100 ,17911 ,17751 ,17531 ,15823 ,15694 ,15083 ,13943 ,14015 ,14442 ,14257 ,14732 ,16338 ,17927 ,18413 ,18722 ,17592 ,16788 ,17307 ,17538 ,18492 ,20322 ,20555 ,21065 ,22154 ,21575 ,21915 ,22398 ,20490 ,20448 ,19982 ,18813 ,20691 ,20471 ,22321 ,20901 ,19278 ,16922 ,17405 ,15676 ,15434 ,12874 ,12240 ,12804 ,9533 ,9919 ,10356 ,9511 ,8587 ,5818 ,6008 ,6489 ,7087 ,7031 ,5412 ,4760 ,4546 ,3696 ,3285 ,2763 ,2466 ,1888 ,1410 ,1186 ,767 ,540 ,452 ,349 ,222 ,134 ,130 ,72 ,67 ,42 ,27 ,169 ,1228935 ,1228935 ,5654 ,6423 ,7414 ,8185 ,9532 ,9809 ,9903 ,9986 ,10862 ,10563 ,9999 ,9888 ,10542 ,10847 ,9969 ,10156 ,11007 ,11286 ,11645 ,13634 ,14801 ,14237 ,15216 ,16167 ,15840 ,15344 ,15162 ,14901 ,14937 ,13604 ,13142 ,12792 ,11940 ,12461 ,12668 ,12957 ,14166 ,16564 ,18090 ,18600 ,19018 ,18048 ,16945 ,17516 ,17623 ,19276 ,21093 ,21566 ,21734 ,22924 ,22483 ,23112 ,23017 ,21760 ,20611 ,21356 ,19701 ,21154 ,20957 ,23962 ,22781 ,20530 ,17377 ,18356 ,16821 ,17630 ,14107 ,14469 ,14973 ,11283 ,11309 ,12432 ,11646 ,10830 ,7082 ,8062 ,9128 ,9692 ,9856 ,8265 ,7664 ,7266 ,6519 ,5834 ,5303 ,4774 ,4068 ,3270 ,2917 ,2195 ,1810 ,1416 ,1194 ,930 ,538 ,482 ,283 ,242 ,181 ,129 ,542 
인천광역시  (2800000000),1474105 ,1474105 ,8106 ,9348 ,9854 ,10967 ,12430 ,13178 ,13011 ,13330 ,14236 ,14702 ,13575 ,13492 ,14025 ,14322 ,13194 ,12957 ,14004 ,14279 ,14879 ,16860 ,18410 ,18386 ,19177 ,20151 ,20995 ,21894 ,22801 ,23233 ,23044 ,21557 ,20570 ,19522 ,18601 ,18602 ,19414 ,19775 ,20691 ,23023 ,25161 ,25863 ,25958 ,24397 ,22596 ,22860 ,22309 ,24132 ,26011 ,25860 ,26211 ,27610 ,26297 ,26807 ,25969 ,24192 ,24462 ,25440 ,23689 ,26504 ,25167 ,27968 ,26748 ,23425 ,21701 ,20539 ,17997 ,18298 ,14458 ,12794 ,13608 ,9136 ,10431 ,10373 ,9993 ,9731 ,7173 ,6848 ,6652 ,6859 ,6858 ,5370 ,4578 ,4422 ,3816 ,3083 ,2764 ,2361 ,1773 ,1458 ,1095 ,817 ,619 ,590 ,422 ,304 ,183 ,138 ,120 ,134 ,72 ,58 ,248 ,1468448 ,1468448 ,7632 ,8811 ,9229 ,10408 ,11963 ,12580 ,12335 ,12807 ,13522 ,13759 ,12845 ,12745 ,13561 ,13566 ,12378 ,12271 ,13288 ,13450 ,13835 ,15790 ,17074 ,16655 ,17997 ,19109 ,19613 ,19804 ,20255 ,20958 ,21218 ,19635 ,18541 ,17858 ,17305 ,17486 ,18131 ,18335 ,19591 ,22001 ,23895 ,24071 ,24697 ,22873 ,21838 ,21599 ,21071 ,22928 ,24641 ,25581 ,25208 ,26911 ,25995 ,27378 ,27031 ,24722 ,24268 ,25779 ,23610 ,25503 ,24754 ,27403 ,26598 ,23315 ,21558 ,20491 ,18470 ,18975 ,15154 ,13392 ,14207 ,9635 ,10988 ,11349 ,10990 ,11410 ,8365 ,8348 ,8220 ,9050 ,9535 ,7834 ,7148 ,7067 ,6395 ,5844 ,5397 ,4949 ,4080 ,3631 ,3205 ,2500 ,2313 ,1910 ,1402 ,1163 ,813 ,682 ,431 ,381 ,271 ,189 ,696 
광주광역시  (2900000000),719445 ,719445 ,3711 ,4408 ,5153 ,5748 ,6480 ,7003 ,6933 ,7358 ,7853 ,7848 ,7532 ,7451 ,7929 ,8171 ,7606 ,7523 ,8293 ,8685 ,8955 ,10126 ,11203 ,10877 ,11345 ,11479 ,11557 ,11196 ,11111 ,10912 ,10419 ,9432 ,8945 ,8496 ,8203 ,8349 ,8638 ,8835 ,9772 ,11026 ,12014 ,11551 ,11930 ,11485 ,10789 ,11206 ,11230 ,11495 ,13218 ,12738 ,12705 ,13605 ,12871 ,12767 ,12764 ,11582 ,11834 ,11023 ,10336 ,11361 ,10143 ,11197 ,11323 ,9887 ,8949 ,8665 ,7589 ,7824 ,6129 ,5559 ,6044 ,5002 ,5114 ,5243 ,4833 ,4876 ,3708 ,3545 ,3314 ,3505 ,4006 ,2867 ,2494 ,2336 ,2014 ,1723 ,1331 ,1196 ,1018 ,687 ,571 ,412 ,349 ,284 ,181 ,137 ,87 ,57 ,37 ,51 ,24 ,15 ,54 ,734507 ,734507 ,3687 ,4303 ,4838 ,5379 ,6322 ,6444 ,6660 ,6862 ,7263 ,7343 ,7103 ,7026 ,7423 ,7582 ,7027 ,7019 ,7627 ,7835 ,8310 ,9467 ,10188 ,10038 ,10536 ,10533 ,10394 ,10430 ,9891 ,9707 ,9724 ,8680 ,8209 ,7840 ,7758 ,8013 ,8366 ,8462 ,9387 ,10601 ,11911 ,11480 ,12230 ,11834 ,11011 ,11268 ,11083 ,11795 ,13102 ,13188 ,12976 ,13811 ,12976 ,12963 ,13045 ,11794 ,11722 ,11445 ,10366 ,11388 ,10435 ,11787 ,12122 ,10624 ,9744 ,9324 ,7894 ,8677 ,6954 ,6393 ,6914 ,5896 ,6063 ,6229 ,5896 ,6084 ,4395 ,4567 ,4273 ,4574 ,5313 ,4260 ,3841 ,3612 ,3271 ,3049 ,2605 ,2511 ,2209 ,1727 ,1469 ,1211 ,1235 ,859 ,643 ,537 ,367 ,293 ,166 ,239 ,136 ,76 ,368 
대전광역시  (3000000000),733356 ,733356 ,3863 ,4408 ,4909 ,5621 ,6389 ,6695 ,6549 ,6840 ,7269 ,7367 ,6962 ,6938 ,7483 ,7551 ,7062 ,7184 ,7928 ,7885 ,8293 ,9361 ,10010 ,10134 ,10784 ,11318 ,11791 ,11906 ,11939 ,11788 ,11535 ,10548 ,10424 ,9920 ,9671 ,9305 ,9566 ,9411 ,9757 ,10815 ,11510 ,11891 ,11664 ,11122 ,10753 ,10935 ,10789 ,11529 ,12860 ,12776 ,12801 ,13833 ,13226 ,13795 ,13119 ,11713 ,11282 ,11652 ,10423 ,11390 ,11497 ,13036 ,11965 ,10659 ,9773 ,9927 ,8975 ,8971 ,7263 ,6387 ,6796 ,4979 ,5509 ,5292 ,5040 ,4610 ,3476 ,3495 ,3480 ,3547 ,3880 ,2826 ,2401 ,2368 ,2119 ,1787 ,1445 ,1248 ,1038 ,810 ,653 ,438 ,358 ,266 ,228 ,172 ,98 ,69 ,48 ,42 ,38 ,16 ,89 ,735743 ,735743 ,3638 ,4282 ,4678 ,5374 ,6002 ,6336 ,6201 ,6634 ,6741 ,6979 ,6586 ,6486 ,7066 ,7174 ,6576 ,6602 ,7293 ,7355 ,7482 ,8810 ,9736 ,9636 ,10205 ,10772 ,10573 ,10212 ,10322 ,10081 ,10230 ,9436 ,8861 ,8425 ,8281 ,8477 ,8654 ,8781 ,9277 ,10334 ,11399 ,11535 ,11726 ,11305 ,10877 ,11059 ,11043 ,11538 ,12934 ,13226 ,12530 ,13798 ,12735 ,13997 ,13428 ,11940 ,10833 ,11944 ,10436 ,11296 ,11475 ,13518 ,12851 ,11197 ,10109 ,10051 ,9367 ,9626 ,7996 ,6729 ,7212 ,5341 ,6149 ,5935 ,5615 ,5370 ,3948 ,4306 ,4444 ,4670 ,5127 ,4018 ,3545 ,3722 ,3335 ,2995 ,2834 ,2576 ,2143 ,1816 ,1604 ,1193 ,1075 ,912 ,752 ,549 ,325 ,273 ,211 ,191 ,118 ,78 ,275 
울산광역시  (3100000000),585387 ,585387 ,3274 ,3846 ,4243 ,4899 ,5539 ,5862 ,5694 ,5795 ,6162 ,6167 ,5838 ,5715 ,5947 ,6039 ,5376 ,5439 ,5866 ,6024 ,6130 ,7127 ,7885 ,7666 ,7885 ,8277 ,8385 ,8462 ,8452 ,8556 ,8492 ,7752 ,7682 ,7615 ,7214 ,7227 ,7358 ,7497 ,8072 ,8987 ,9835 ,10230 ,10343 ,9489 ,9040 ,9039 ,8553 ,9091 ,9728 ,9794 ,10022 ,10827 ,10432 ,10983 ,10984 ,10354 ,11110 ,10813 ,9727 ,10753 ,10377 ,11545 ,10433 ,9469 ,8612 ,8096 ,7255 ,7220 ,5930 ,5335 ,5371 ,4196 ,4027 ,4015 ,3777 ,3324 ,2275 ,2310 ,2127 ,2382 ,2206 ,1628 ,1485 ,1343 ,1012 ,839 ,685 ,601 ,510 ,407 ,284 ,173 ,136 ,134 ,68 ,57 ,35 ,20 ,29 ,21 ,5 ,6 ,34 ,553981 ,553981 ,3363 ,3614 ,4094 ,4534 ,5190 ,5426 ,5450 ,5580 ,5771 ,5730 ,5307 ,5250 ,5631 ,5443 ,5021 ,4802 ,5223 ,5262 ,5502 ,6021 ,6549 ,5918 ,6427 ,6575 ,6290 ,6346 ,6306 ,6507 ,6625 ,6403 ,6211 ,6150 ,5889 ,6323 ,6534 ,6664 ,7467 ,8454 ,9296 ,9295 ,9705 ,8874 ,8275 ,8323 ,8064 ,8868 ,9749 ,10004 ,9963 ,10915 ,10673 ,11156 ,11074 ,10597 ,10032 ,10147 ,9163 ,9691 ,9528 ,11059 ,10168 ,9089 ,8202 ,8029 ,7234 ,7298 ,5825 ,5347 ,5340 ,4133 ,4080 ,3981 ,3880 ,3449 ,2329 ,2611 ,2694 ,2994 ,2949 ,2297 ,2307 ,2035 ,1947 ,1767 ,1602 ,1448 ,1281 ,1066 ,911 ,696 ,583 ,503 ,424 ,322 ,210 ,191 ,113 ,100 ,73 ,34 ,136 
세종특별자치시  (3600000000),173613 ,173613 ,1725 ,1953 ,2074 ,2277 ,2569 ,2677 ,2542 ,2661 ,2744 ,2752 ,2499 ,2484 ,2412 ,2295 ,2170 ,1914 ,1911 ,1744 ,1673 ,1735 ,1854 ,1640 ,1715 ,1716 ,1743 ,1778 ,1876 ,2012 ,2056 ,2055 ,2238 ,2319 ,2455 ,2640 ,2789 ,2925 ,3098 ,3356 ,3932 ,3839 ,3920 ,3654 ,3400 ,3406 ,3151 ,3405 ,3524 ,3324 ,3271 ,3258 ,2884 ,2822 ,2590 ,2243 ,2048 ,2116 ,1955 ,2104 ,1928 ,2253 ,2018 ,1872 ,1656 ,1632 ,1541 ,1553 ,1213 ,1039 ,1098 ,802 ,938 ,880 ,768 ,724 ,530 ,525 ,521 ,537 ,592 ,443 ,370 ,376 ,332 ,284 ,245 ,228 ,197 ,141 ,100 ,87 ,72 ,54 ,34 ,35 ,19 ,14 ,6 ,11 ,6 ,5 ,12 ,174401 ,174401 ,1618 ,1898 ,2042 ,2219 ,2438 ,2495 ,2425 ,2560 ,2594 ,2533 ,2407 ,2389 ,2521 ,2335 ,2096 ,1913 ,2000 ,1794 ,1628 ,1630 ,1637 ,1597 ,1504 ,1574 ,1628 ,1650 ,1799 ,1956 ,2305 ,2252 ,2401 ,2425 ,2595 ,2861 ,2842 ,2963 ,3231 ,3717 ,4104 ,3973 ,4013 ,3858 ,3441 ,3366 ,3155 ,3153 ,3321 ,2960 ,2683 ,2875 ,2458 ,2508 ,2377 ,2130 ,1907 ,2046 ,1744 ,1925 ,1871 ,2196 ,2038 ,1843 ,1650 ,1662 ,1508 ,1577 ,1293 ,1049 ,1193 ,837 ,954 ,938 ,819 ,820 ,602 ,646 ,666 ,700 ,799 ,685 ,593 ,608 ,568 ,496 ,496 ,495 ,407 ,383 ,322 ,259 ,227 ,209 ,155 ,108 ,59 ,60 ,34 ,29 ,27 ,8 ,43 
경기도  (4100000000),6736077 ,6736077 ,39734 ,45989 ,49912 ,55453 ,62710 ,65887 ,64721 ,66310 ,71192 ,71115 ,67093 ,65986 ,69535 ,69316 ,63812 ,62159 ,67692 ,67771 ,71863 ,82973 ,87526 ,85219 ,88360 ,91126 ,95577 ,98318 ,100410 ,102221 ,102644 ,95398 ,91138 ,89795 ,87069 ,87176 ,90707 ,92329 ,97671 ,108873 ,118652 ,120770 ,120970 ,113397 ,106844 ,108276 ,107190 ,112197 ,122713 ,121706 ,124114 ,130038 ,123085 ,124609 ,118446 ,109389 ,109538 ,110524 ,102042 ,111094 ,104715 ,116006 ,110040 ,97408 ,90321 ,84398 ,75569 ,75666 ,61197 ,54381 ,57426 ,38361 ,42446 ,42745 ,42057 ,41461 ,30814 ,30576 ,28728 ,29422 ,31474 ,25152 ,21721 ,20350 ,17737 ,15433 ,12816 ,11033 ,8726 ,6808 ,5455 ,3852 ,3206 ,2656 ,1842 ,1291 ,873 ,677 ,571 ,556 ,361 ,238 ,1138 ,6652408 ,6652408 ,38419 ,43182 ,47691 ,52094 ,60094 ,62779 ,61984 ,63519 ,67743 ,67532 ,63422 ,62429 ,66566 ,65903 ,60246 ,59639 ,63993 ,63725 ,66408 ,76572 ,80327 ,77758 ,81540 ,84485 ,86570 ,87241 ,88039 ,89294 ,90713 ,85834 ,82612 ,81557 ,81350 ,82534 ,85497 ,87702 ,92872 ,104115 ,113237 ,115443 ,117428 ,110332 ,103575 ,104597 ,103038 ,109010 ,118873 ,119436 ,118336 ,126039 ,119119 ,123930 ,119002 ,108916 ,103655 ,107369 ,97558 ,104504 ,100584 ,113773 ,108193 ,95649 ,87494 ,84096 ,76288 ,78784 ,63548 ,57106 ,60836 ,42081 ,47209 ,47426 ,47321 ,48041 ,36366 ,37218 ,37060 ,38807 ,41651 ,34608 ,31709 ,31018 ,28170 ,25881 ,23307 ,21856 ,18099 ,15188 ,13252 ,10049 ,9558 ,7700 ,6217 ,4652 ,3212 ,2704 ,1725 ,1623 ,1123 ,734 ,3115 
